Body_Name ,Date,Transaction_Number,Amount,Supplier_Name,Supplier_ID,Expense_Area,Expense_Type,Expense_Code,Extended_Description,Service_Code,Service_Label,Service Division Label,Service Division Code
West Wickham District Council,05/05/2017,156970,5000,Redacted Infromation,MAL014,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16339,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156975,504,Redacted Infromation,SCO022,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16418,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156976,898,Redacted Infromation,SMI037,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16430,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156979,5000,Redacted Infromation,SOW005,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16264,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,156980,5000,Redacted Infromation,STO013,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16436,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,05/05/2017,157209,17434.39,AMEY PLC,TFE001,Environmental Services,Street Cleaning Contract,3100,M-SC61,APFAIR,Appleby Fair,3036,Appleby Fair
West Wickham District Council,05/05/2017,157211,3570,AMEY PLC,TFE001,Technical Services Manager,Street Cleaning Contract,3100,SC45,STRCLE,Street Cleaning,2248,Fly tipping on verge
West Wickham District Council,12/05/2017,156633,850.25,AMEY PLC,TFE001,Environmental Services,Dog Contract O.O.H retainer,3200,STRAY DOG COLLECTION JAN-MAR,CODOGS,Community Wardens,3045,Dog Control
West Wickham District Council,12/05/2017,156923,700,PENRITH TOWN COUNCIL,PEN080,Technical Services Manager,VRC Payments,2103,BRING SITE CREDITS - MORRISONS,RECYCL,Recycling,3047,Recycling
West Wickham District Council,12/05/2017,157131,604.03,BRITISH GAS BUSINESS,BRI032,Technical Services Manager,Gas,1023,TOWN HALL MARCH 17,ADMBLD,Administrative Buildings,500,Town Hall
West Wickham District Council,12/05/2017,157137,14681,CUMBRIA LAW CENTRE,CUM100,Environmental Services,CLG Grant Expenditure,2157,West Wickham District Council SERVICE LEVEL AGREEMENT,HOMLES,Homelessness,2296,Homelessness Grant Fund
West Wickham District Council,12/05/2017,157142,3515,DOLPHIN MOBILITY YORKSHIRE & CUMBRIA LTD,DOL001,Environmental Services,Capital grants,5505,FINAL PAYMENT RED BARN LANGWATHBY,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,12/05/2017,157143,3111,C W COX & SONS (KENDAL)  LTD,COX001,Environmental Services,Capital grants,5505,FINAL PAYMENT 12 WESTGARTH COURT KIRKBY,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,12/05/2017,157153,3985,WSP UK LTD,WSP001,Environmental Services,Professional fees,2045,POOLEY BRIDGE SOURCE SIDE NETWORK STUDY,OHOUSG,Housing Delivery,3090,Heat Network Funding
West Wickham District Council,12/05/2017,157158,5109.4,Redacted Infromation,WIL078,HR,Relocation expenses,54,RELOCATION  ALLOWANCE M WILSON,CENTRA,Central Expenses,208,Staff Recruitment
West Wickham District Council,12/05/2017,157185,2517.86,ROYAL MAIL NW,ROY001,Elections,Balance Sheet entry BS,6003,business mail West Wickham flexivot,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,12/05/2017,157198,2221.21,PPM LTD,PPM001,Environmental Services,Capital grants,5505,final payment flat 4 sim court penrith,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,12/05/2017,157203,2195.01,EASIBATHE LTD,EAS006,Environmental Services,Capital grants,5505,160041/7 CROSS LANE INTERIM PAY,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,12/05/2017,157212,66369.84,AMEY PLC,TFE001,Technical Services Manager,Contract refuse collection,3003,M-RC 61,REFCOL,Refuse Collection,3050,Clinical Expenditure
West Wickham District Council,12/05/2017,157213,500,BUCKET  & SPADE MARKETING,BUC010,Commercial Services Manager,Promotional activity,2084,THINGS TO DO IN SOUTH LAKELAND,MARKET,Markets,2382,Mrkts - Penrith Promotional Space
West Wickham District Council,12/05/2017,157215,540,Redacted Infromation,ROB049,Finance Director,Grants and contributions,2079,PLFRG EDC16184,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157216,8115,Redacted Infromation,WAP002,Finance Director,Grants and contributions,2079,PLFRG EDC16187,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157217,960,Redacted Infromation,BUC013,Finance Director,Grants and contributions,2079,PLFRG EDC16069 2ND PAY,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157219,2561.84,Redacted Infromation,JAC029,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16205,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157220,1880.86,Redacted Infromation,CUM118,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16070,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157253,785,Redacted Infromation,SOW010,Finance Director,Grants and contributions,2079,PLFEGRANT EDC 16089,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157256,5250,WSP UK LTD,WSP001,Environmental Services,Professional fees,2045,POOLEY BRIDGE MICRO-HYDRO STUDY TO MARCH,OHOUSG,Housing Delivery,3090,Heat Network Funding
West Wickham District Council,12/05/2017,157258,515.5,UNITED UTILITIES WATER PLC,UNI024,Environmental Services,Professional fees,2045,FS/WT ANALYSIS MARCH 17,WATSAM,Water Sampling,3039,Private Water Sample Charges
West Wickham District Council,12/05/2017,157259,17667.47,PRINT IMAGE FACILITIES LLP,PRI014,Elections,Balance Sheet entry BS,6003,West Wickham GE 2017 POLL CARD POSTAGE,HOLD A/C'S,Holding Accounts,10304,Parliam Election Exp
West Wickham District Council,12/05/2017,157260,69601.85,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,Information Technology Manager,Shared IT Services,2500,IT/INFO @ WORK SHARED SERVICES QTR,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,12/05/2017,157263,500,GREYSTOKE SWIMMING POOL,GRE020,Technical Services Manager,Grants and contributions,2079,RURAL POOL GRANT FIRST PAYMENT,ARTLEI,Arts and Leisure,2107,Rural pool grants
West Wickham District Council,12/05/2017,157264,4485,ARLINGCLOSE LTD,ARL002,Finance Director,Professional fees,2045,TREASURY CONSULTANCY SERVICES MAT/APR 17,DIRFIN,Finance Director,100,Finance Director / Secretary
West Wickham District Council,12/05/2017,157271,2400,Redacted Infromation,FLE005,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16259,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,12/05/2017,157273,500,ROSALIND NIEDT,NIE002,HR,Welfare,80,3032017 10 SESSIONS,CENTRA,Central Expenses,209,Welfare
West Wickham District Council,12/05/2017,157274,500,ROSALIND NIEDT,NIE002,HR,Welfare,80,5042017 10 SESSIONS,CENTRA,Central Expenses,209,Welfare
West Wickham District Council,12/05/2017,157275,500,ROSALIND NIEDT,NIE002,HR,Welfare,80,4042017 10 SESSIONS,CENTRA,Central Expenses,209,Welfare
West Wickham District Council,12/05/2017,157281,500,ROSALIND NIEDT,NIE002,HR,Welfare,80,10022017 X 6 12022017 X 4 SESSIONS,CENTRA,Central Expenses,209,Welfare
West Wickham District Council,12/05/2017,157282,500,ROSALIND NIEDT,NIE002,HR,Welfare,80,3112017 X 6 2022017 X 4 SESSIONS,CENTRA,Central Expenses,209,Welfare
West Wickham District Council,12/05/2017,157287,2939.68,AMEY PLC,TFE001,Technical Services Manager,FL  Contract,3300,FL-01/2017,FOOLIG,Footway Lighting,2258,Footway lighting
West Wickham District Council,12/05/2017,157150,2836.64,EGBERT H TAYLOR AND COMPANY LIMITED,EGB001,Technical Services Manager,Bank-Refurbishment,2009,PAPER LOCKING LODS,RECYCL,Recycling,3047,Recycling
West Wickham District Council,12/05/2017,157151,1180.48,WICKSTEED LEISURE LTD,WIC001,Technical Services Manager,Replacement Works (Play Areas),2195,RUBBER CRADLE SEAT,PARKOS,Parks and Open Spaces,2143,Play Areas
West Wickham District Council,12/05/2017,157279,4087.5,CIVICA UK LTD,CIV002,Revenue/Benefits Manager,Agency Staff,3,CIVICA  ON DEMAND REVENUES PRO,REVBEN,Revenue & Benefits,106,Revenues
West Wickham District Council,19/05/2017,156919,1500,IAN CANNON LTD,CAN004,Technical Services Manager,Commuted Sum,2189,PAVE AROUND LIGHT COLUMNS West Wickham BUSINESS PK,EDEVPR,Economic Development and Promotion,2020,West Wickham Business Park Phase 2
West Wickham District Council,19/05/2017,157010,2239.81,AMEY PLC,TFE001,Technical Services Manager,Building Maintenance - Leisure,1101,reinstate floor fit door frame pump out,LEICEN,West Wickham Leisure Centre & Appleby Swimming P,2097,Penrith Leisure Centre
West Wickham District Council,19/05/2017,157168,554.12,AMEY PLC,TFE001,Technical Services Manager,Building Maintenance,1000,SECURE WINDOW FIT GLASS CLEAR GLASS,ADMBLD,Administrative Buildings,500,Town Hall
West Wickham District Council,19/05/2017,157404,616.65,HEATONS OFFICE SOLUTIONS LTD,LAK004,Environmental Services,Furniture – office,2005,PAPER/CJHAIRS/STATIONERY,ENVSER,Environmental Services,303,Environmental Services
West Wickham District Council,19/05/2017,156680,600,JONATHAN B JACKSON LTD,JON015,Legal Services Manager,Professional fees,2045,SURVEY VESSEL POOLEY BRIDGE WATERSIDE FA,LICENC,Licensing,3024,Other Licences
West Wickham District Council,19/05/2017,156690,4954.5,IMPACT HOUSING ASSOCIATION,IMP001,Environmental Services,Grants and contributions,2079,AT HOME IN West Wickham PROJECT JAN-JUN 2017,RENGRT,Renovation Grant Scheme,2293,Staying put project
West Wickham District Council,19/05/2017,156799,4164.42,Konica Minolta Business Solutions UK Limited,KON003,Information Technology Manager,Printers Contract,2059,PRINTERS  01.04.17-30.06.17,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,19/05/2017,156900,1990,COUNTRYSIDE CONSULTANTS,COU025,Technical Services Manager,Flood Damage,2305,RESTORATION OF RAILINGS APPLEBY,PARKOS,Parks and Open Spaces,2402,Jenkins Field
West Wickham District Council,19/05/2017,156920,975,XEROX FINANCE,XER003,Information Technology Manager,Printers Contract,2059,KIP RENT 24.05.17-23.08.17,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,19/05/2017,157128,2248.34,West Wickham HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Hire of premises,1029,HOMELESSNESS RECHARGE 02.01.17-02.04.17,HOMLES,Homelessness,2296,Homelessness Grant Fund
West Wickham District Council,19/05/2017,157144,-1596,West Wickham HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Hire of premises,1029,CREDIT LONSDALE COURT EXPLOSION,HOMLES,Homelessness,2296,Homelessness Grant Fund
West Wickham District Council,19/05/2017,157145,29387.06,West Wickham HOUSING ASSOCIATION LTD,EDE001,Finance,Unique payments ****,6006,HOMELESSNESS ADVICE 02.01.17/02.04.17,VAT CONT,VAT CONTROL ACCOUNT,9147,Input VAT
West Wickham District Council,19/05/2017,157146,9206.39,West Wickham HOUSING ASSOCIATION LTD,EDE001,Environmental Services,Grants and contributions,2079,FAIRHILL/LOWTHER ST/HUTTON HILL,HOMLES,Homelessness,2296,Homelessness Grant Fund
West Wickham District Council,19/05/2017,157255,897.02,GREENWICH LEISURE LTD,NCL001,Technical Services Manager,NCL Ad-hoc Sports Pitches,1155,RE-CHARGE AD HOC BOOKINGS JAN/FEB/MAR,LEICEN,West Wickham Leisure Centre & Appleby Swimming P,2130,Sports Facilities
West Wickham District Council,19/05/2017,157265,1470,HAYMARKET MEDIA GROUP LTD,HAY019,Planning Services,Subscriptions & levies,2078,DCP ON LINE RENEWALS,PLASER,Planning Services,304,Planning Services
West Wickham District Council,19/05/2017,157284,3705.75,MLL TELECOM LTD,MLL001,Information Technology Manager,IT Contracts & Maintenance,2062,TOWN HALL/MANSION HOUSE RENTAL 01 APR -30 JUN 17,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,19/05/2017,157340,5605,TIAA LTD,TIA001,Finance Director,Professional fees,2045,CORPORATE PLANNING,DIRFIN,Finance Director,100,Finance Director / Secretary
West Wickham District Council,19/05/2017,157341,3160,CIPFA,CIP001,Finance,Subscriptions & levies,2078,FINANCE ADVISORY WORK 17/18,FINSER,Financial Services,101,Financial Services
West Wickham District Council,19/05/2017,157344,1656,CUMBRIA COUNTY COUNCIL,CCC002,Technical Services Manager,Professional fees,2045,LOCAL SEARCHES  JAN17,LANDCH,Land Charges,1002,Land Charges
West Wickham District Council,19/05/2017,157345,1713,CUMBRIA COUNTY COUNCIL,CCC002,Technical Services Manager,Professional fees,2045,SEARCHES P1 P2 EXPIDITED,LANDCH,Land Charges,1002,Land Charges
West Wickham District Council,19/05/2017,157348,555.81,ALLPAY LTD,ALL023,Finance,Bank charges,2088,FEES PO TRANSACTION PAY POINT WEB,CORPOR,Corporate Costs,1064,Bank Charges
West Wickham District Council,19/05/2017,157353,1400,CHARTERED INSTITUTE OF ENVIRONMENTAL HEALTH,CIE002,HR,Advertising,50,ONLINE JOBS,CENTRA,Central Expenses,208,Staff Recruitment
West Wickham District Council,19/05/2017,157355,500,LAZONBY SWIMMING POOL ASSOCIATION,LAZ003,Technical Services Manager,Grants and contributions,2079,RURAL POOL GRANT 2017,ARTLEI,Arts and Leisure,2107,Rural pool grants
West Wickham District Council,19/05/2017,157358,3349.87,NORTH WEST LOCAL AUTHORITIES EMPLOYERS ORGANISATION,NOR001,HR,Subscriptions & levies,2078,MEMBERSHIP 17/18,CENTRA,Central Expenses,210,NWLAEO
West Wickham District Council,19/05/2017,157360,1739.33,ROYAL MAIL NW,ROY001,Elections,Balance Sheet entry BS,6003,RESPONSE PLUS SERVICE,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,19/05/2017,157368,580,CHRIS WAKEFIELD TREE SVCS,CHR001,Technical Services Manager,GM External Contractors,1080,JUBILEE PARK KIRKBY STEPHEN TREES,PARKOS,Parks and Open Spaces,2127,Dangerous trees
West Wickham District Council,19/05/2017,157369,6159.06,E.ON UK PLC,EON001,Technical Services Manager,Electricity,1022,STREET LIGHTING APRIL 2017,FOOLIG,Footway Lighting,2258,Footway lighting
West Wickham District Council,19/05/2017,157372,2547,Redacted Infromation,SEW003,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16425,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157374,1366.37,ROYAL MAIL NW,ROY001,Revenue/Benefits Manager,Postages,2054,POST CHARGES 12.04.17-02.05.17,REVBEN,Revenue & Benefits,106,Revenues
West Wickham District Council,19/05/2017,157377,5000,Redacted Infromation,HAL031,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16362,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157382,1800,CALTHWAITE PLAY AREA,CAL021,Commercial Services Manager,Balance Sheet entry BS,6003,FINAL 25% West Wickham CIMMUNITY FUND GRANT,COMDEV,Community Development & Engagement,10400,Community Fund
West Wickham District Council,19/05/2017,157387,32289.06,AMEY PLC,TFE001,Technical Services Manager,GM INSPECTIONS & MAINTENANCE,1089,M-GM61,CLCHYD,Closed Church Yards,2246,War Memorials
West Wickham District Council,19/05/2017,157392,1227,HM COURTS SERVICE,HMC007,Revenue/Benefits Manager,Legal and court costs,2046,CTNNDRLOS310517COURT,LOCTAX,Collection of Local Taxation,1006,Council Tax
West Wickham District Council,19/05/2017,157393,670.37,WESTMORLAND FIRE & SECURITY,WES001,Technical Services Manager,Rental/Maintenance of Fire Alarm,1050,MAINT CHARGE FOR ALARMS 01.05.17-31.05.18,ADMBLD,Administrative Buildings,500,Town Hall
West Wickham District Council,19/05/2017,157397,1668.07,Redacted Infromation,ELL018,Finance Director,Grants and contributions,2079,PLFRGRANT EDC16148,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157402,540.08,SOUTH LAKELAND DISTRICT COUNCIL,SOU006,Planning Services,Professional fees,2045,CONSERVATION & DESIGN + EXPENSES,CONSER,Environmental Enhancement & Conservation,3011,Environmental Enhancement & Conservation
West Wickham District Council,19/05/2017,157407,4814.4,Redacted Infromation,BAI018,Finance Director,Grants and contributions,2079,PLFRGANT EDC16096,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157409,5000,Redacted Infromation,TUR019,Finance Director,Grants and contributions,2079,PLFRGANT EDC16314,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157410,2747.43,Redacted Infromation,PYM001,Finance Director,Grants and contributions,2079,PLFRGANT EDC16434,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157411,3880.8,Redacted Infromation,NIX002,Finance Director,Grants and contributions,2079,PLFRGANT EDC16419,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157418,512.83,UNITED UTILITIES WATER LTD,UNI008,Technical Services Manager,Water charges – metered,1032,PCS MARKET HALL5.01.17-30.04.17,PUBCON,Public Conveniences,2280,Appleby Boroughgate Public Convenience
West Wickham District Council,19/05/2017,157420,2520,Redacted Infromation,MET021,Finance Director,Grants and contributions,2079,PLFRGANT EDC16348,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157421,5000,Redacted Infromation,RAN003,Finance Director,Grants and contributions,2079,PLFRGANT EDC16386,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157422,4429,Redacted Infromation,BRO053,Finance Director,Grants and contributions,2079,PLFRGANT EDC16247,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,19/05/2017,157426,4425.5,PRINT IMAGE NETWORK LTD,PRI011,Elections,Balance Sheet entry BS,6003,COUNTY ELECTIONS BALLOT BOOKLS,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,19/05/2017,157524,525.17,PLUMPTON PRIMARY SCHOOL,DAV005,Technical Services Manager,VRC Payments,2103,October 2016-March 2017,RECYCL,Recycling,3047,Recycling
West Wickham District Council,19/05/2017,157526,533.15,SHAP PARISH COUNCIL,SHA008,Technical Services Manager,VRC Payments,2103,October 2016-March 2017,RECYCL,Recycling,3047,Recycling
West Wickham District Council,15/05/2017,157535,684,ENVIRONMENT AGENCY,ENV004,Legal Services Manager,Building Maintenance,1000,West Wickham BUSINESS PARK DRAINAGE,LANDMA,Land Management,1007,Land Management
West Wickham District Council,26/05/2017,157537,2412.3,GLASDON UK LTD,GLA003,Technical Services Manager,Litter bins,2022,TOPSY 2000 KEYLESS,PROAME,Provision of Ameneties,2252,Provision of Amenities
West Wickham District Council,26/05/2017,157542,500,VISTAVEG LTD,VIS005,Commercial Services Manager,Grants and contributions,2079,GRANT PENRITH FOOD ASSEMBLY,EDEVPR,Economic Development and Promotion,2007,Match Funding
West Wickham District Council,26/05/2017,157561,1825.34,SITEIMPROVE LTD,SIT002,Information Technology Manager,Web Services,2065,CONTRACT NO: 5238 17/18,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,18/05/2017,157736,1235,BUSY BEES CHILDCARE VOUCHERS,BUS004,Commercial Services Manager,Child Care Voucher Scheme,5,CHILDCARE VOUCHERS  18/05/2017,COMSER,Commercial Services,310,Commercial Services
West Wickham District Council,26/05/2017,157752,8950,DALES SPORTS SURFACED LTD,DAL007,Technical Services Manager,Equipment – purchase,2000,BOWLING CARPET - PLC,RENEWALS,Repairs & Renewals Fund,6627,Leisure Equipment & Maintenance
West Wickham District Council,26/05/2017,156408,640.5,DESIGNWORKS LTD,DES001,Commercial Services Manager,Advertising,2086,APPLEBY LEAFLET,TOUPRO,Tourism Promotion,2056,West Wickham Tourism
West Wickham District Council,26/05/2017,157405,1565.56,HEATONS OFFICE SOLUTIONS LTD,LAK004,Elections,Balance Sheet entry BS,6003,FURNITURE/STATIONERY/PAPER,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,26/05/2017,157538,9543.02,SOFTWARE BOX LTD,SOF002,Information Technology Manager,Software – maintenance,2067,INTEL MFE COMPLETE EP 3YR GL,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,26/05/2017,157572,5001.6,J R EDGAR JOINERY AND BUILDING LTD,EDG004,Environmental Services,Decent Homes Grants,5524,FINAL PAYMENT ROSELYNN ALSTON,DIREGR,1996 Discretionary Renovation Grants,6034,1996 Discretionary Renovation Grants
West Wickham District Council,26/05/2017,157575,2000,JARDINE LLOYD THOMPSON UK LTD,JAR003,Finance,Professional fees,2045,PREMIUM DUE 17/18 EDC,INSURA,Insurance,1098,Insurance
West Wickham District Council,26/05/2017,157577,1902.87,GREENWICH LEISURE LTD,NCL001,Elections,Balance Sheet entry BS,6003,hire of sports hall re elections,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,26/05/2017,157583,19195.1,TERRY GROUP LTD,TER003,Environmental Services,Capital grants,5505,160051/fin final payment/ 4 westbrookfie,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,26/05/2017,157594,917.7,PENRITH PLAYERS THEATRE LTD,PEN002,Commercial Services Manager,Commission,7504,sale of tickets - the graduate,TAPTIC,Penrith TIC Trading Account,9164,Penrith TIC - Penrith Players
West Wickham District Council,26/05/2017,157597,7371.4,ATKINSON BUILDING CONTRACTORS,ATK009,Environmental Services,Decent Homes Grants,5524,160036 final payment 1 cockell house,DIREGR,1996 Discretionary Renovation Grants,6034,1996 Discretionary Renovation Grants
West Wickham District Council,26/05/2017,157598,2340,JOHNSTON & WRIGHT CHARTERED ARCHITECTS,WRI001,Environmental Services,Capital grants,5505,160025/int interim payment / brightside,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,26/05/2017,157607,3500,DYNAMIC JOINERY LTD,DYN004,Elections,Balance Sheet entry BS,6003,collect ballot boxes,HOLD A/C'S,Holding Accounts,10305,Cumbria CC Elections
West Wickham District Council,26/05/2017,157614,12000,I J CURRY & SON LTD,CUR010,Environmental Services,Decent Homes Grants,5524,160021/FIN FINAL PAYMENT /2 HOMEFIELD G,DIREGR,1996 Discretionary Renovation Grants,6034,1996 Discretionary Renovation Grants
West Wickham District Council,26/05/2017,157615,1860,Redacted Infromation,JAM007,Finance Director,Grants and contributions,2079,FLOOD GRANT,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,26/05/2017,157623,10000,Redacted Infromation,WAR030,Finance Director,Grants and contributions,2079,FLOOD GRANT,FLOOD,Storm Damage Nov 2016,9318,Storm Damage Nov 2016
West Wickham District Council,26/05/2017,157624,782.75,VODAFONE BUSINESS SOLUTIONS,VOD002,Information Technology Manager,Mobile telephone,2057,part payment of invoice 83487642,INFTEC,Information Technology,102,Information Technology
West Wickham District Council,26/05/2017,157627,1920,JOHNSTON & WRIGHT CHARTERED ARCHITECTS,WRI001,Environmental Services,Capital grants,5505,160027/18 WEST LANE PENRITH,MEREGR,1996 Mandatory Renovation Grants,6035,Disabled Facility Grants
West Wickham District Council,26/05/2017,157628,5000,West Wickham SAVE CREDIT UNION,EDE071,Commercial Services Manager,Grants and contributions,2079,CREDIT UNION GRANT,EDEVPR,Economic Development and Promotion,2638,Credit Union
